id,username,password
1,admin,s3cr3t
2,admin,s3cr3t
3,admin,s3cr3t
4,admin,s3cr3t
5,admin,s3cr3t
6,admin,s3cr3t
7,admin,s3cr3t
8,admin,s3cr3t
9,admin,s3cr3t
10,admin,s3cr3t
11,admin,s3cr3t
12,admin,s3cr3t
13,admin,s3cr3t
14,admin,s3cr3t
15,admin,s3cr3t
16,admin,s3cr3t
17,admin,s3cr3t
18,admin,s3cr3t
19,admin,s3cr3t
20,admin,s3cr3t
21,admin,s3cr3t
22,admin,s3cr3t
23,admin,s3cr3t
24,admin,s3cr3t
25,admin,s3cr3t
26,admin,s3cr3t
27,admin,s3cr3t
28,admin,s3cr3t
29,admin,s3cr3t
30,admin,s3cr3t
31,admin,s3cr3t
32,admin,s3cr3t
33,admin,s3cr3t
34,admin,s3cr3t
35,admin,s3cr3t
36,admin,s3cr3t
37,admin,s3cr3t
38,admin,MySuP3rStR0nGP4sSw0rDDD###
39,admin,MySuP3rStR0nGP4sSw0rDDD###
40,admin,MySuP3rStR0nGP4sSw0rDDD###
41,admin,MySuP3rStR0nGP4sSw0rDDD###
42,admin,MySuP3rStR0nGP4sSw0rDDD###
